Symbol	Description
AMVGF.OB	Amvig Hldgs Ltd Ord
AMVMF.OB	Amg Advanced Metal
AMWK.OB	Ameristar Network Inc
AMXEF.OB	AMEX Exploration
AMXVF.OB	America Movil S.A.B. DE C.V.
AMYZF.OB	American Manganese Inc
ANAS.OB	Alternaturals Inc
ANAV.OB	Alpha Network Alliance Ventures Inc
ANCE.OB	Restance Inc
ANCTF.OB	Alimentat Cou Mulvtg
ANCUF.OB	Alimentation Couche-Tard Inc
ANDC.OB	Andover Bancorp Inc [Oh]
ANDD.OB	Anr Inc Contingent Rev Pmt Rt 03/31/2023
ANDI.OB	Andiamo Corp
ANDR.OB	Andritz Ag
ANEWF.OB	Australia & N Z Bkg
ANFC.OB	Ante5 Inc
ANFGF.OB	Antofagasta Plc Ord
ANGCF.OB	Angel Gold Corp
ANGPY.OB	Anglo American Platinum Ltd
ANGUF.OB	Anglo-Canadian Mining Corp
ANIOY.OB	Acerinox Sa ADR
ANKOF.OB	Ankor Gold
ANLBF.OB	Alexander Nubia Intl
ANLDF.OB	Anfield Energy Inc
ANNSF.OB	Aena S.A.
ANPCF.OB	Angle Plc Ord
ANPCY.OB	Angle Plc Surrey ADR
ANPDF.OB	Anta Sports Products Ltd
ANPDY.OB	Anta Sports Prod ADR
ANPFF.OB	Anpulo Food Inc
ANPOF.OB	American Patriot Oil & Gas Ltd
ANSLF.OB	Ansell Ltd
ANSLY.OB	Ansell Ltd ADR
ANSU.OB	Amanasu Techs Corp
ANTGF.OB	Advantagewon Oil Corp
ANTH.OB	Anthera Pharmaceutic
ANVV.OB	Anvia Holdings Corp
ANXGF.OB	Anaconda Mining Inc
ANZBY.OB	Australia and New Zealand Bank
ANZFF.OB	Air New Zealand Ord
ANZLY.OB	Air New Zealand Ltd ADR
AOCIF.OB	Autocanada Inc
AOGC.OB	Australian Oil & Gas
AOIFF.OB	Africa Oil Corp
AOLS.OB	Aeolus Pharmaceuticl
AOMFF.OB	Alstom Shs Prov Regr
AOMOY.OB	Ao Mosenergo ADR
AONNF.OB	Aeon Co. Ltd [Japan]
AONNY.OB	Aeon CO Ltd ADR
AOREF.OB	American Overseas Group Ltd
AOTUF.OB	Precinct Properties NZ
AOTVF.OB	Ascot Resources Ltd
AOXG.OB	Aoxing Pharmaceutical Company Inc
AOXY.OB	Advanced Oxygen Tech
AOZOY.OB	Aozora Bank ADR
APAAF.OB	Appia Energy Corp
APAFF.OB	Apella Resources Inc
APAJF.OB	Apa Group
APCDF.OB	A Cap Resources Ltd
APCOF.OB	American Potash Corp
APCX.OB	Apptech Corp
APELY.OB	Alps Electric Ltd Ad
APEMY.OB	Aperam
APEOF.OB	Americas Petrogas Inc
APEUF.OB	Atlas Engineered Products Ltd
APGI.OB	American Power Group Corp
APGMF.OB	Applied Graphene Mat
APHD.OB	Appiphany Technologies Holdings Corp
APHE.OB	Alpha Energy Inc
APHTF.OB	Alphinat
APLD.OB	Applied Science Prod
APLO.OB	Apollo Bancorp Inc
APLVF.OB	Ap Alternative Units
APMCF.OB	Morien Resources
APMFF.OB	Eagle Graphite Inc
APNHF.OB	Aspen Pharmacare Hld
APNHY.OB	Aspen Pharmacare
APPB.OB	Applied Biosciences Corp
APPDW.OB	Applied Dna Sciences Inc WT
APPEF.OB	Appen Ltd
APPZ.OB	Monster Arts Inc
APQT.OB	Appliqate Inc
APRAD.OB	Goldstrike Resources
APRCP.OB	Alabama Pwr 4.52 Pfd
APRDM.OB	Alabama Pwr 4.92 Pd
APRDN.OB	Alabama Pwr 4.20 Pd
APRDO.OB	Alabama Power CO 4.64% Pfd
APRO.OB	Allegiant Professnl B/S
APRU.OB	Apple Rush Company Inc
APRWF.OB	Atlantic Pwr Pfd Equ
APSI.OB	Aqua Power Systems
APTEF.OB	Apteryx Imaging Inc
APTL.OB	Alaska Pwr & Tel CO
APTPF.OB	Airports of Thailand Public CO Ltd
APTTF.OB	Asian Pay Television
APTY.OB	Apt Systems
APVS.OB	Guardian Tech Intl
APWL.OB	Advanced Pwrln Techs Inc
APYI.OB	Aspyra Inc
APYP.OB	Appyea Inc
APYRF.OB	Allied Pptys R E Inv
AQARF.OB	Aquila Resources Inc
AQBN.OB	Aab National CO
AQFD.OB	A Classified Ad Inc
AQFH.OB	Aquesta Financial
AQQRF.OB	Aquarius Surgical Technologies Inc
AQSP.OB	Acquired Sales Corp
AQSZF.OB	Aequus Pharmaceuticals Inc
AQUI.OB	Aquagold Intl Inc
ARAFF.OB	Arafura Resources NL
ARAO.OB	Aurasource Inc
ARAT.OB	Arax Holdings Corp
ARBI.OB	Arbios Systems Inc
ARBTF.OB	Argo Gold Inc
ARBU.OB	American Business Crp
ARBV.OB	American Riviera Bnk
ARCAY.OB	Arcadis NV NY Reg #
ARCS.OB	Arcis Resources Corp
ARCUF.OB	Arcus Development Grp Inc
ARCVF.OB	Arcadis NV
ARCW.OB	Arc Group Worldwide
ARDMQ.OB	Aradigm Corp
AREB.OB	American Rebel Holdings Inc
AREM.OB	American Rare Earths
ARESF.OB	Artis Real Est IN TR
ARET.OB	Arete Industries Inc
AREVF.OB	Arev Brands International Ltd
AREXQ.OB	Approach Res. Inc
ARFXF.OB	Amorfix Life Science
ARGC.OB	Arion Group Corp
ARGGY.OB	Aston Martin Lagonda Global Holdings Plc ADR
ARGKF.OB	Aggreko Plc
ARGQ.OB	Argentum 47 Inc
ARGTF.OB	Artemis Gold Inc
ARGW.OB	Argus Worldwide Group
ARHH.OB	Assure Holdings Corp
ARHN.OB	Archon Corp
ARHTF.OB	Arht Media Inc
ARIZF.OB	Acme Resources Inc
ARKAY.OB	Arkema ADR
ARLUF.OB	Aristocrat Leisure L
ARMC.OB	Asiarim Corp
ARMZF.OB	Aura Minerals Inc
ARNGF.OB	Argonaut Gold Ltd
ARNI.OB	Arno Therapeutics
AROFF.OB	Africa Opportunity Fund L
AROSF.OB	Aurora Spine
ARPC.OB	Arem Pacific Corp
ARREF.OB	Amerigo Resources
ARRHW.OB	Arch Coal Inc
ARRJF.OB	Arjo Ab Cl B
ARRRF.OB	Ardea Resources Ltd
ARSC.OB	American Securty Res
