Symbol	Description
RVCB.OB	Riverton Community Bank Ill
RVDO.OB	Riverdale Oil & Gas
RVIV.OB	Reviv3 Procare CO
RVLGF.OB	Revival Gold
RVLT.OB	Revolution Lgt Tc
RVNG.OB	Raven Gold Corp
RVRA.OB	Riviera Resources Inc
RVSDF.OB	Riverside Res Inc
RVTI.OB	Rival Technologies Inc
RVVQF.OB	Ravenquest Biomed Inc
RVVTF.OB	Revive Therapeutics Ltd
RVXCF.OB	Resverlogix Corp
RWCB.OB	Redwood Capital Bcp
RWCI.OB	Rwc Inc
RWCRF.OB	Riwi Corp
RWEOY.OB	Rwe Ag Ord ADR
RWMI.OB	Regalworks Media Inc
RWNFF.OB	Rwe Ag New Essen
RWRDP.OB	Iconsumer Corp Non Vtg Pfd Stk Ser A
RWWI.OB	Avatech Solutions
RXEEY.OB	Rexel S.A.
RXMD.OB	Progressive Care
RYAOF.OB	Ryanair Holdings Plc
RYBIF.OB	Ryobi Ltd
RYCEF.OB	Rolls Royce Grpord
RYCEY.OB	Rolls Royce Grp ADR
RYDAF.OB	Royal Dutch Shell Plc
RYDBF.OB	Royal Dutch Shell Plc
RYES.OB	Rise Gold Corp.
RYESF.OB	Rise Resources Inc
RYFL.OB	Royal Financial Inc
RYKKF.OB	Ryohin Keikaku CO Ltd
RYKKY.OB	Ryohin Keikaku
RYLPF.OB	Koninklijke Philips N.V.
RYMM.OB	Royal Mines & Minerl
RYOOF.OB	Rio Silver Inc
RYPPF.OB	Ryu Apparel Inc
RZLT.OB	Rezolute Inc
RZREF.OB	Razor Energy
RZSMF.OB	Rizzoli Corriere Della Sera Mediagroup Spa
RZZN.OB	Jialijia Group Corp Ltd
RZZRY.OB	Razer Inc ADR
SAABF.OB	Saab Ab
SAAGF.OB	Shanta Gold Ltd Ord
SABK.OB	South Atlantic Bancshares Inc
SADL.OB	Sadlier [William H.] Inc
SADMF.OB	Sanatana Resources Ord
SAEC.OB	Starlight Energy Corp
SAEI.OB	Supatcha Resources Inc
SAENF.OB	Solar Alliance Energy Inc
SAEUF.OB	Saturn Minerals Inc
SAFLF.OB	Safilo Grp Spa Ord
SAFLY.OB	Safilo Grp Spa ADR
SAFO.OB	Save Foods Inc
SAFRF.OB	Safran S.A. Ord Shs
SAFRY.OB	Safran S.A.
SAFS.OB	Safer Shot Inc
SAGD.OB	South American Gold
SAGKF.OB	Stagecoach Group Plc Ord
SAHRF.OB	Sahara Energy Ltd
SAKH.OB	Sakha Enterprises Corp
SAKL.OB	Sack Lunch Productions Inc
SALN.OB	Salon City Inc
SALRF.OB	Salmar ASA
SALRY.OB	Salmar ASA ADR
SAML.OB	Samsara Luggage Inc.
SAMMF.OB	Sama Res/Ressources Sama
SAMOF.OB	Sangoma Technologies Corp
SANP.OB	Santo Mining Corp
SANT.OB	Santeon Group Inc
SAPGF.OB	SAP Ag Systeme Dm5
SAPIF.OB	Saputo Inc
SAPLF.OB	Sylvania Platinum Ltd Ord
SAPMF.OB	Saipem Spa
SAPMY.OB	Saipem Spa
SAPX.OB	Seven Arts Pictures Plc
SARSF.OB	Canada House Wellness Group Inc
SARTF.OB	Sartorius Ag Ord
SATLF.OB	Start Today CO
SAUHF.OB	Straumann Hld N Akt
SAUHY.OB	Straumann Hld
SAWLF.OB	Shawcor Ltd
SAXPF.OB	Sampo Oyj
SAXPY.OB	Sampo Oyj ADR
SAYFF.OB	3 Sixty Risk Solutions Ltd
SBAY.OB	Subaye Inc
SBAZ.OB	State Bank Corp AZ
SBBG.OB	Seibels Bruce Group Inc
SBBI.OB	S.B.C.P. Bancorp Inc
SBBSF.OB	Sabana Shariah Compl
SBDG.OB	Small Business Development Group Inc
SBES.OB	South Beach Spirits Inc
SBFFF.OB	Sbm Offshore NV
SBFFY.OB	Sbm Offshore NV
SBFM.OB	Sunshine Biopharma
SBGLF.OB	Sibanye Gold
SBGSF.OB	Schneider Electric
SBGSY.OB	Schneider Electric S
SBHGF.OB	Sbi Holdings Inc Ord
SBHMY.OB	Sino Biopharmaceutical ADR
SBHO.OB	Steuben TR CO Hornel
SBKFF.OB	State Bk India Reg S
SBKK.OB	Suncrest Bank Visali
SBKO.OB	Summit Bank [Or]
SBLRF.OB	Sable Resources Ltd
SBLUY.OB	Stabilus S.A. ADR
SBMFF.OB	Sino Biopharmaceutic
SBMSF.OB	South Boulder Mines
SBNC.OB	Southern Bancshares
SBNCM.OB	Southern Bancshares [Nc] Inc Conv Cl B Pfd
SBOEF.OB	Schoeller Bleckman Oilfld
SBOEY.OB	Schoeller-Bleckmann Oilfield Equipment Ag [Austr
SBOX.OB	Superbox Inc
SBRCY.OB	Sberbank Russia
SBRKF.OB	Sparebank 1 Sr Bank ASA
SBSAA.OB	Spanish Broadcasting System Inc
SBUM.OB	Silver Buckle Mines
SBWFF.OB	Strongbow Expl Inc
SCAL.OB	Stem Cell Authority Ltd
SCAY.OB	Seneca-Cayuga Bancorp Inc
SCAZQ.OB	Sanchez Energy Corp Perp Pfd Conv Ser B
SCBFF.OB	Standard Chartered.5
SCBFY.OB	Standard Chartered Plc ADR
SCBH.OB	Seacoast Commerce Bk
SCBS.OB	Southern Community Bancshares Inc
SCBZ.OB	Scoobeez Global Inc
SCCCF.OB	Sunac China Holdings Ltd
SCDA.OB	B-Scada Inc
SCEXF.OB	Saracen Mineral
SCEYF.OB	Source Energy Services
SCFFF.OB	Spot Coffee Ltd
SCFLF.OB	Schaeffler Ag
SCFR.OB	Security First Intl
SCGLF.OB	Societe Generale
SCGLY.OB	Societe Generale Spo
SCGPY.OB	Serco Group Plc ADR
SCHYF.OB	Sands China
SCHYY.OB	Sands China Ltd
SCIA.OB	Sci Engineered Materials Inc
SCIE.OB	Spectrascience
SCIL.OB	Scientific Learning Corp
SCMWY.OB	Swisscom Ag Ads
SCNA.OB	Smart Cannabis Corp
SCND.OB	Scientific Inds Inc
SCNG.OB	SC Holdings Corp
SCNNF.OB	Stillcanna Inc
SCOO.OB	School Specialty
SCPAF.OB	Shopping Centres Aust Stp
SCPJ.OB	Scope Industries 10
SCPPF.OB	S4 Capital Plc
SCRCQ.OB	Scripsamerica Inc
SCRH.OB	Scores Hld CO Inc
SCRYY.OB	Scor Ads
SCSG.OB	Southcrest Fin Grp
SCTBF.OB	Securitas Ab B Free
SCTN.OB	Schimatic Technlgs I
SCTSF.OB	Scottie Resources Corp
SCTY.OB	Monitronics International Inc
SCUPF.OB	Second Cup Realty
SCVPF.OB	Siam Cement Public CO Ltd
SCVPY.OB	Siam Cement Public CO Ltd ADR
SCYYF.OB	Scandium International Mining Corp
SCZC.OB	Santa Cruz Cty Bk CA
SDDXF.OB	Siderar Sa Cl A Ord
SDEC.OB	Smart Decision Inc
SDEV.OB	Security Device Intl
SDGB.OB	Ssnb Inc
SDGCF.OB	Sundrug CO Ltd Ord
SDLPF.OB	Seadrill Partners Llc
SDMHF.OB	Sartorius Stedim Bio
SDOIB.OB	Standard Diversified Inc Cl B
SDPNF.OB	Sime Darby Plantation Bhd
SDRC.OB	Schroders Plc-Non Voting
SDRDW.OB	Sandridge Energy Inc WT Ser B Exp 10/04/2022
SDRMU.OB	Sandridge Mississippian Trust
SDRWW.OB	Sandridge Energy Inc WT Ser A Exp 10/04/2022
SDSS.OB	Suspect Detection Sy
SDSYA.OB	South Dakota Soybean Processors Llc Cap Unit Cl
SDTC.OB	Sentaida Tire CO Ltd
SDTTU.OB	Sandridge Mississippian Trust
SDVI.OB	Signature Devices
SDVKY.OB	Sandvik Ab ADR
SDXAY.OB	Sodexo Ads
SDXEF.OB	Sdx Energy Plc
SDXOF.OB	Sodexo
SEAOF.OB	Seaco Ltd
SEBC.OB	Southeastern Banking Corp
SEBYF.OB	Seb Sa
SEBYY.OB	Seb Sa ADR
SECCF.OB	Serco Group Plc
SECI.OB	Sector 10 Inc
SECYF.OB	Secure Energy Svcs
SEDO.OB	Seedo Corp
SEEK.OB	Thedirectory.com Inc
SEEMF.OB	Seeing Machines
SEGI.OB	Sycamore Entertainment Group Inc
SEGXF.OB	Segro Plc REIT
SEGYY.OB	Spt Energy Grp ADR
SEHKF.OB	Seahawk Ventures Inc
SEII.OB	Sharing Economy International Inc
SEKEF.OB	Seiko Epson Corp
SEKEY.OB	Seiko Epson ADR
SEMFF.OB	SEMAFO Inc
SEMHF.OB	Siemens Healthineers Ag
SEMUF.OB	Siem Industries Inc
SENEM.OB	Seneca Foods Corp 12 Pfd
SENR.OB	Strategic Env & Egy
SENY.OB	Sauer Energy Inc
SEOAY.OB	Stora Enso Oyj Ads
SEOVF.OB	Sernova Corp
SEPGY.OB	Supergroup Plc Cheltenham ADR
SEPJF.OB	Spectris Plc [Uk]
SEPOF.OB	Blumetric Environmntl Inc
SESI.OB	Ses Solar Inc
SESMF.OB	Suess Microtec Ag
SETO.OB	Seto Holdings Inc
SETY.OB	Star Entertainment Gp Inc
SEVA.OB	Seaway Valley Capitl
SEVT.OB	Summit Environmental Corp Inc
SEXHF.OB	Sichaun Expressway Ord
SFBE.OB	Sino Fibre Commun
SFBI.OB	Sfsb Inc
SFBTF.OB	Softbank Technology Corp
SFDL.OB	Security Federal Cor
SFDPF.OB	Spark Infrastructure
SFEF.OB	Santa Fe Finl Cp
SFEG.OB	Santa Fe Gold Corp
SFFYF.OB	Signify NV
SFHI.OB	Sports Field Holding
SFHLF.OB	Saf Holland Sa Ord
SFIGA.OB	Star Financial Group Inc
SFIN.OB	Safetek Intl Inc
SFIO.OB	Smokefree Innotec Inc
SFIV.OB	Sector 5
SFOR.OB	Strikeforce Technologies Inc
SFOSF.OB	Shanghai Fosun
SFPI.OB	Baby All
SFRGF.OB	Salvatore Ferragamo
SFRGY.OB	Salvatore Ferragamo
SFRI.OB	Safari Corp
SFRRF.OB	Sandfire Resources NL Ord
SFRX.OB	Seafarer Exploration
SFTBF.OB	Softbank Corp Ord
SFTBY.OB	Softbank Corp ADR
SGAMF.OB	Sega Sammy Hlds Ord
SGAMY.OB	Sega Sammy Hld ADR
SGAPY.OB	Singapore Tele ADR
SGBAF.OB	Ses Global S.A.
SGBG.OB	Signature Bank of Georgia
SGBI.OB	Sangui Biotech Intl Inc
SGBLY.OB	Std Bk Grp Ltd/S ADR
SGBP.OB	Syringa Bancorp
SGDH.OB	SGD Holdings Ltd
SGER.OB	Sterling Energy Res Inc
SGGDF.OB	Sage Gold Inc
SGGEF.OB	Sage Group Plc
SGGFF.OB	Ipath.B Sugar TR ETN
SGGKF.OB	Singapore Tech Eng Ltd
SGGKY.OB	Singapore Technologies Engineering Ltd
SGGTF.OB	Signature Resources Ltd
SGHIF.OB	Shanghai Industrial Holdings Ltd
SGHIY.OB	Shanghai Industrial Holdings Ltd ADR
SGIOF.OB	Shionogi & CO Ltd
SGIOY.OB	Shionogi & CO Ltd Un
SGLA.OB	Sino Green Land Corp
SGLFF.OB	Sgl Group
SGLMF.OB	Starhill Global
SGLN.OB	Surgline Intl Inc
SGLRF.OB	Spyglass Resources Corp
SGMD.OB	Sugarmade Inc
SGMLF.OB	Sigma Lithium Resources Corp
SGMNF.OB	Sutter Gold Mining Inc
SGOO.OB	Snoogoo Corp
SGPLF.OB	Saga Plc
SGPPF.OB	Spar Group Ltd
SGPYY.OB	Sage Grp Plc ADR
SGQRF.OB	Southgobi Res Ltd
SGRCF.OB	San Gold Corp
SGRNF.OB	Serengeti Resources
SGRPW.OB	Sirius International Insurance Group Ltd WT Exp
SGRZ.OB	Stonepath Group Inc
SGSI.OB	Spectrum Global Solutions Inc
SGSOF.OB	Sgs Ltd Ord Shs
SGSOY.OB	Sgs Sa ADR
SGSRF.OB	SGS SOC GEN DE SURV
SGSVF.OB	Sabina G & S
SGTB.OB	Suggestion Box
SGTI.OB	Shengtai Pharmaceut
SGTN.OB	Soligen Technologies
SGTPY.OB	Surgutneftegaz Pref
SGTZY.OB	Surgutneftegaz ADR
SGUJ.OB	Saguaro Holdings Corp
SHALF.OB	Shangri-La Asia Ltd
SHALY.OB	Shangri-La Asia Ltd
SHASF.OB	Shamaran Petroleum
SHCAF.OB	Sharp Corp [Osaka]
SHCAY.OB	Sharp Corp Ltd ADR
SHCC.OB	Shi Corp
SHDNF.OB	Efora Energy Ltd
SHECF.OB	Shin-Etsu Chemical C
SHECY.OB	Shin-Etsu Chemical C
SHERF.OB	Sherritt International Corp
SHGDF.OB	Shore Gold Fd Inc
SHGY.OB	Searchguy.com Inc
SHKLY.OB	Sinotruk [Hk] Limited ADR
SHLAF.OB	Schindler Holding Ag
SHLDQ.OB	Sears Hlds Corp
SHMDF.OB	Shimano Inc Ltd
SHMN.OB	Sohm Inc
SHMP.OB	Naturalshrimp
SHMUF.OB	Shimizu Corp Ord
SHMUY.OB	Shimizu Corp
SHNL.OB	Shentang Intl Inc
SHNWF.OB	Schroders Plc
SHOM.OB	Southern Home Medicl
SHPHF.OB	Sihuan Pharm Holdings Gp
SHPMF.OB	Shanghai Pharms Hl H Ord
SHPMY.OB	Shanghai Pharmaceuticals Holding CO Ltd ADR
SHPNF.OB	Shoal Point Energy Ltd
SHRG.OB	Sharing Services Global Corp
SHTDF.OB	Sinopharm Group CO L
SHTDY.OB	Sinopharm Group
SHTLF.OB	South32 Ltd
SHUFF.OB	Shufersal Ltd B Ord
SHUNF.OB	Shunfeng Photo
SHVLF.OB	Starcore International Mines Ltd
SHVTF.OB	Select Harvests Ltd
SHWDF.OB	Showa Denko Ord
SHWDY.OB	Showa Denko Kk ADR
SHWGY.OB	Shandong Weigao Group Medical Polymer CO Ltd A
SHWK.OB	Seahawk Dp Ocean Tech
SHZHY.OB	Shenzhou International Group Holdings Ltd ADR
SHZNF.OB	Shenzhen Express CO H Shs
SHZUY.OB	Shizuoka Bank Ltd [Japan] ADR
SIAF.OB	Sino Agro Food Inc
SIBE.OB	Sibling Entertainmnt
SICNF.OB	Sokoman Iron Corp
SICRF.OB	Simcorp As Ord
SIEGY.OB	Siemens Ag
SIELY.OB	Shanghai Electric
SIERF.OB	Sierra Growth Corp
SIETY.OB	S.A. Dieteren ADR
SIEVF.OB	Sa D Ieterennv Ord
SIGL.OB	Signal Advance Inc
SIGM.OB	Sigma Designs Inc
SIGN.OB	Signet Intl Hlds Inc
SIGO.OB	Sunset Island Group Inc
SILDF.OB	Sintokogio Ltd [Japan]
SILS.OB	Silver Scott Mines I
SILXF.OB	Silex Systems Ltd
SILXY.OB	Silex Systems Ltd SP
SIMA.OB	Sonics & Materials Inc
SIMC.OB	Simclar Inc
SIMEF.OB	Sime Darby Property Berhad
SIML.OB	Simlatus Corp
SING.OB	Singlepoint Inc
SINGF.OB	Singapore Airlines Ltd
SINGY.OB	Singapore Airlines L
SINX.OB	Sionix Corp
SIOCF.OB	Sierra Iron Ore Corp
SIOLY.OB	Sino-Ocean Group Holdings Ltd
SIOPF.OB	Shimao Property Holdings Ltd
SIPC.OB	Sipp Industries Inc
SIPN.OB	Sipp International I
SIRC.OB	Solar Integrated Roofing Corp
SIREF.OB	Sirios Resource Corp
SIRZF.OB	Sir Rty Income Fd
SISXF.OB	Savaria Corp
SITIY.OB	Sitc International Holdings CO Ltd ADR
SITKF.OB	Sitka Gold Corp
SITS.OB	Southern Its International Inc
SIUAF.OB	Stabilus Sa
SIUDF.OB	Shanghai Industrial Urban Development Group Ltd
SIUIF.OB	Semiconductor MFG IN
SIVE.OB	Silver Verde May Mng
SIXD.OB	6D Global Technologies Inc
SJMHF.OB	Sjm Hld Ltd
SJMHY.OB	Sjm Holdings Ltd ADR
SJRNF.OB	Sojourn Exploration Inc
SKAS.OB	Saker Aviation Svcs Inc
SKBSY.OB	Skanska Ab
SKDI.OB	Sun Kissed Industries Inc
SKFOF.OB	Sika Finanz
SKFRY.OB	Skf Ab ADR
SKGO.OB	Skybridge Tech Group Inc
SKHCF.OB	Sonic Healthcare Ltd
SKHHY.OB	Sonic Healthcare Ltd ADR
SKHRF.OB	Stakeholder Gold Cor
SKHSF.OB	Sekisui House Ltd [Japan]
SKHSY.OB	Sekisui House Spn Ad
SKKY.OB	Skkynet Cloud
SKLKF.OB	Shinsei Bank Ltd
SKLKY.OB	Shinsei Bankltd
SKLYF.OB	Skylark CO Ltd
SKPI.OB	Sky Petroleum Inc
SKPN.OB	Skyshop Logistics Inc
SKPO.OB	Skye Petroleum Inc
SKREF.OB	Skeena Resources Ltd
SKRUF.OB	Scottish Re Grp Pfd
SKSBF.OB	Skanska A B Ser B Fr
SKSJF.OB	Shinko Shoji CO Ltd Ord
SKTO.OB	Sk3 Group Inc
SKTP.OB	Skytop Lodge Corpora
SKTPP.OB	Skytop Lodge Corp 7% Pfd
SKVI.OB	Skinvisible Inc
SKVKY.OB	Skandinaviska Enskil
SKVY.OB	Sentry Technology Corp
SKXJF.OB	Sankyo CO Gumma
SKYF.OB	Sky440 Inc
SKYL.OB	Skyline Mltmeda Entmt Inc
SLBG.OB	Slinger Bag Inc
SLCFF.OB	Bluedrop Performance Learning Inc
SLCH.OB	Spotlight Capital Holdings Inc
SLCJY.OB	Slc Agricola S.A.
SLCO.OB	Sovereign Lithium Inc
SLFFF.OB	Future Mobility Solutions Ltd
SLFPF.OB	Standard Life Plc
SLFPY.OB	Standard Life Plc Ad
SLFSF.OB	Sun Life Financial Inc 4.80% Prf Perpetual CAD 2
SLFYF.OB	Sun Life Financial Inc Cl A Non-Cumulative Pfd S
SLGBF.OB	Samling Global Ltd
SLGD.OB	Scotts Liquid Gold Inc
SLGGF.OB	Solgold Plc
SLGRF.OB	SLM Solutions Gruop
SLGWF.OB	Slang Worldwide Inc
SLGX.OB	Sillenger Exploratin
SLGYF.OB	San Leon Energy Plc
SLLDY.OB	Sanlam Ltd ADR
SLLFF.OB	Gusbourne Plc Ord
SLLN.OB	Searchlight Solutions Ltd
SLMLF.OB	Sultan Minerals Inc
SLMNP.OB	Schulman A Inc
SLMXF.OB	Slam Exploration Ltd
SLNCF.OB	Silence Therapeutics
SLNG.OB	Stabilis Energy Inc
SLNM.OB	Salon Media Group Inc
SLNX.OB	Solanex Management
SLOFF.OB	Solstad Offshore ASA
SLRK.OB	Solera Natl Bancorp
SLROF.OB	Stellar Resources Ltd
SLRRF.OB	Silver Range Res Ltd
SLSDF.OB	Select Sands Corp
SLSR.OB	Silver Surprize Inc
SLTFF.OB	Pistol Bay Mining
SLTN.OB	Silverton Energy Inc
SLTTF.OB	Slate Office REIT TR Unit
SLUP.OB	Solucorp Industries Ltd
SLVRF.OB	Silver One Resources Inc
SLXXF.OB	Selectcore Ltd
SMAA.OB	Sma Alliance Inc
SMAL.OB	Summit Bancshares Inc
SMAS.OB	Somatic Systems Inc
SMAWF.OB	Siemens A G Register
SMBMF.OB	Sembcorp Marine Ltd
SMBZF.OB	Gold Star Resources
SMCAY.OB	Smc Corp
SMCBF.OB	Siam Comml Bk
SMCE.OB	Smc Recordings Inc
SMDM.OB	Singing Machine Inc
SMDZF.OB	Strategic Metals Ltd
SMEBF.OB	Sime Darby Bhd
SMECF.OB	Smc Cp
SMEV.OB	Simulated Environmen
SMFKY.OB	Smurfit Kappa
SMFNF.OB	Sumitomo Mitsui Finl
SMFTF.OB	Smurfit Kappa Group Plc
SMGBF.OB	San Miguel Corp
SMGBY.OB	San Miguel Corp Cl B
SMGI.OB	Smg Indium Res Ltd
SMGKF.OB	Smiths Group Plc Ord
SMGZY.OB	Smiths Group Plc ADR
SMICY.OB	Semiconductor Manufacturing International
SMID.OB	Smith-Midland Corp
SMIZF.OB	Sol Melia Sa Ord
SMKC.OB	Smoke Cartel Inc
SMKG.OB	Smart Card Marketing
SMLR.OB	Semler Scientific
SMMCF.OB	Summit Industrial Income REIT TR Unit
SMME.OB	Smartmetric Inc
SMMNY.OB	Siemens Healthineers Ag ADR
SMMR.OB	Stanlib Multi-Manager Global Equity Feeder Fund
SMMYY.OB	Sumitomo Metal Mining CO Ltd
SMNNY.OB	Shimano Inc
SMNUF.OB	Pt Sarana Menara Nus
SMOFF.OB	Sonoro Metals Corp
SMPNY.OB	Sompo Japan Nipponkoa Holdings Inc ADR
SMPP.OB	Strategic Mgmt & Oppty Cp
SMPR.OB	Standard Metals Processing Inc
SMREF.OB	San Marco Res Inc
SMRL.OB	Simtrol Inc
SMRN.OB	Smartag International Inc
SMSEY.OB	Samsonite
SMSMY.OB	Sims Metal Management Ltd
SMSOF.OB	Samsonite Intl
SMTGF.OB	Sma Solar Technology Ag [Niestetal]
SMTI.OB	Sanara Medtech Inc
SMTOF.OB	Sumitomo Electric IN
SMTOY.OB	Sumitomo Electric IN
SMTTF.OB	Samart Telecoms Public
SMUUY.OB	Siam Commercial ADR
SMVI.OB	Social Media Venture
SMXMF.OB	Samex Mining Corp
SNAVF.OB	Star Navigation Systems Group Ltd
SNBIF.OB	Sanbio Company Ltd
SNBP.OB	Sun Biopharma Inc
SNCAF.OB	Snc Lavalin Group IN
SNCGF.OB	Sunset Cove Mng
SNDD.OB	Redhawk Holdings Corp
SNDY.OB	Solos Endoscopy Inc
SNDZ.OB	Sunridge International Inc
SNECQ.OB	Sanchez Energy Corp
SNEJF.OB	Sony Corp Ord
SNFRF.OB	Sinofert Holdings Ltd
SNGNF.OB	Singapore Telecm Ord
SNGY.OB	Synrgy Corp
SNIPF.OB	Snipp Interactive IN
SNIRF.OB	Senior Plc
SNLAF.OB	Sino Land CO Ltd
SNLAY.OB	Sino Land CO Ltd Spo
SNLC.OB	Security Natl [Iowa]
SNLS.OB	San Luis TR Bk Fsb
SNMCY.OB	Suncorp Group
SNMN.OB	Snm Global Holdings
SNMRF.OB	Snam Spa
SNMRY.OB	Snam Rete Gas ADR
SNMSF.OB	Spin Master Corp
SNNAF.OB	Sienna Resources Inc Ord
SNNAQ.OB	Sienna Biopharmaceuticals Inc
SNNC.OB	Sibannac Inc
SNNF.OB	Seneca Financial Corp
SNNGF.OB	Sienna Gold Inc
SNNUF.OB	Smith & Nephew Plc O
SNNVF.OB	Sunniva Inc
SNNY.OB	Sunnyside Bancorp
SNOIF.OB	Sino-I Tech Ltd Ord
SNOTF.OB	Sinotrans Ltd Shs H
SNPHF.OB	Santen Pharmaceutical CO Ltd
SNPHY.OB	Santen Pharmaceutical CO
SNPMF.OB	China Pete & Chem CO
SNPTF.OB	Sunny Optical
SNPW.OB	Sun Pacific Holding Corp
SNPXF.OB	Snp Schneider-Neureither & Partner Se
SNRG.OB	Susglobal Energy Corp
SNROF.OB	Saniro CO Ltd
SNRS.OB	Sunrise Consltng Grp Inc
SNRY.OB	Solar Energy Initiatives Inc
SNSFF.OB	Venzee Technologies Inc
SNSGF.OB	Sense Techs Inc
SNST.OB	Sunset Capital Assets Inc
SNTX.OB	Suntex Enterprises Inc
SNTZ.OB	Santana Mining Inc
SNUYF.OB	Serinus Energy Plc
SNVFF.OB	Sonoro Energy
SNVP.OB	Savoy Energy Corp
SNVVF.OB	Step Energy Services
SNWR.OB	Sanwire Corp
SNWV.OB	Sanuwave Health Inc
SNYNF.OB	Sanofi-Aventis S.A.
SNYR.OB	Synergy Strips Corp
SNZYQ.OB	Sanchez Energy Corp Cum Perpetual Pfd Conv Ser
SOACF.OB	Southern Arc Minerals Inc
SOAN.OB	Angiosoma Inc
SOBKY.OB	Softbank Corp ADR
SOBS.OB	Solvay Bank/Solvay NY
SOCGM.OB	Southern California Gas CO 6% Pfd
SOCGP.OB	Southern Calif Gas 6
SOCJF.OB	Sonora Gold & Silver Corp
SOCLF.OB	Soco Intl Plc
SODE.OB	Social Detention Inc
SODI.OB	Solitron Devices Inc
SOEN.OB	Solar Enertech Corp
SOFO.OB	Sonic Foundry Inc
SOFT.OB	Softech Inc
SOGFF.OB	Strategic Oil & Gas
SOHFF.OB	Telson Resources Inc
SOHL.OB	Southern TR Secs Hlds Cp
SOHMF.OB	Bolsas Y Mercados Espanoles Shmsf S.A.
SOHOF.OB	Soho China Ltd Ord
SOHVY.OB	Sumitomo Heavy Industries Ltd ADR
SOIEF.OB	Stolt Nielsen S.A.
SOIS.OB	Striker Oil & Gas
SOLCF.OB	Scythian Biosciences Corp
SOLI.OB	Solei Systems Inc
SOLS.OB	Sollensys Corp
SOLTF.OB	Sosei CO Ltd Ord
SOLVY.OB	Solvay S.A.
SOMC.OB	Southern Michigan Bancorp
SOME.OB	Somerset Trust Holdi
SOMLF.OB	Secom CO Ltd
SOMLY.OB	Secom CO Ltd ADR
SOMMY.OB	Sumitomo Chemical CO
SOMNF.OB	Somnomed Ltd Ord
SONVF.OB	Sonova Holding Ag
SONVY.OB	Sonova Holding Ag
SOPK.OB	Southpeak Interactive Crp
SOPV.OB	Solar Park Initiatives
SOQDQ.OB	Sonde Resources Corp
SORT.OB	Gunther Intl Ltd
SOST.OB	Southern States Sign CO
SOTGY.OB	Sunny Optical Tech ADR
SOTK.OB	Sono-Tek Corp
SOUB.OB	Southpoint Bancshares Inc
SOUHY.OB	South32 Ltd
SOUL.OB	Soul & Vibe Interactive Inc
SOUPQ.OB	Soupman Inc
SOYO.OB	Soyo Group Inc
SPASF.OB	Singapore Airport Te
SPAZF.OB	Spanish Mtn Gold Ltd
SPBBF.OB	Speakeasy Cannabis Club Ltd
SPBV.OB	Sports Pouch Bev CO
SPCO.OB	Stephan CO
SPDC.OB	Speed Commerce Inc
SPDE.OB	Speedus Corp
SPDL.OB	Spindle Inc
SPEC.OB	Spectralcast Inc
SPFYF.OB	Spacefy Inc
SPGX.OB	Sustainable Projects Group Inc
SPGYF.OB	Spitfire Energy Ltd
SPGZ.OB	Spectrum Group Intl
SPHHF.OB	Sophos Group Plc
SPHRF.OB	Starpharma Holdings
SPHRY.OB	Starpharma Hlds ADR
SPIN.OB	Spine Pain Mgmt Inc
SPIR.OB	Spire Corp
SPIZF.OB	Sparebanken Vest As
SPKKY.OB	Spark New Zealand Ltd
SPKOY.OB	Sinopec Kantons Holdings Ltd ADR
SPKTF.OB	Spectra Inc
SPLIF.OB	Nutritional High Intl Inc
SPLM.OB	Sentry Petroleum
SPLN.OB	Southern Plains Oil Corp
SPLY.OB	Socialplay USA Inc
SPMI.OB	Speedemissions Inc
SPMTF.OB	Spearmint Resources
SPMYY.OB	Spirent Comm Plc ADR
SPND.OB	Spindletop Oil & Gas CO
SPNRF.OB	Sparton Resources IN
SPNUF.OB	Spirent Plc Ord
SPNZF.OB	South Port New Zealand Ltd
SPOI.OB	Spo Networks Inc
SPOM.OB	Spo Global Inc
SPONF.OB	Sponsorsone Inc
SPOWF.OB	Strata Power Corp
SPOXF.OB	Sprott Inc
SPOZF.OB	Sportech Plc
SPPH.OB	Spencer Pharm Inc
SPPJY.OB	Sappi Ltd
SPQS.OB	Sportsquest Inc
SPRL.OB	Strat Petroleum Ltd
SPRN.OB	Supernova Energy Inc
SPRS.OB	Surge Components Inc
SPRV.OB	Supurva Healthcare Group Inc
SPRWF.OB	Supreme Pharmaceuticals
SPSAF.OB	Sopra S.A. [France]
SPSO.OB	Spectacular Solar Inc
SPSTF.OB	Singapore Post Ltd
SPSY.OB	Space Propulsion Systems Inc
SPTJF.OB	Sinopec Shanghai Petrochemical CO Ltd
SPUP.OB	Sipup Corp
SPVNF.OB	Spectra7 Micro
SPXA.OB	Spectrumdna Inc
SPXCF.OB	Singapore Exchan Ltd
SPXCY.OB	Singapore Exchange L
SPXP.OB	Spirit Exploration
SPXXF.OB	Sparebank 1 Nord Norge
SPYR.OB	Spyr Inc
SQCC.OB	Square Chain Corp
SQCF.OB	Susquehanna Community Financial Inc
SQIDF.OB	Sqi Diagnostics Inc
SQNNY.OB	Square Enix Holdings CO Ltd ADR Repstg Com Stk
SQNXF.OB	Square Enix CO Ltd
SQRMF.OB	Taal Distributed Info. Tech. Inc.
SRAFF.OB	Sandfire Resources America Inc
SRBBF.OB	Subscribe Technologies Inc
SRBCF.OB	Sirona Biochem Corp
